"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tyre_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Kids Bike","Rim Brake - Hydraulic","Giant","","","Light Blue","Seller refurbished: The item that has been restored to working order by the manufacturer, eBay seller or a third party. This means the item has been inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details. ","","Unisex Children","","Adjustable Seat","","","","","Derailleur Gears","","","","","Aluminium Alloy","","","6 Speed","","","","Grip Shifter","","","Front","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","23","AU $450.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/284568171861?hash=item424195b555:g:wysAAOSwRpNhuG5p&amdata=enc%3AAQAHAAAAoEYw8bshoX%2BhDOYpk0gCewqeOkTFTiLd2BO88paZbxisQjqeWQ%2BTZxwHCaruS3BxGtWPMlKUqWDFrikmTkKqBgl202dImDkdeeaECVoybM2P88S09GBfepW%2F%2FmB5rb8ussRdWB2tstXlgrca4Eve6IpDVt1T4qDnhHeVUZLMhekEjgj1KPr6wV6mwiuNK31EdVNsncY8uK1aXn9UQJa4egE%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," Giant MTX 150 - 20"" (Fully Customised)","","Bikes"
"","","Kids Bike","","Giant","","","Blue","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Girls","","","","","","","","","","","","","","","","","","","","","","","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","24","AU $42.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/384599013544?hash=item598be338a8:g:EVYAAOSwln5huJgO&amdata=enc%3AAQAHAAAAoNjglCSZ%2BRpnO%2BVYb%2BVYBIXyzPHu1l5DclBhOKA1I%2B3lz7LXebnZ1jHkjgDsHTrJRAmhjU78PWSAbbaqnQvebsgE1KLnArxU4wFnyLw0ksTVbrgoUxSNRqo7p%2FUM3Tc5iGhMXoLG4SYJXdJFKwqw17w%2FiJLR6pD76Xfs4KsKiT3FGjWvvPrIrCss6%2BoSMYs%2BlY625H41oolQ0RuGacFTWac%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," Girls 20 inch Giant Liv Adore Bike","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","25","AU $449.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/304565271957?hash=item46e9813d95:g:soAAAOSw0P9hvBK1&amdata=enc%3AAQAHAAAAoM9RbTlX%2FDnfFjbtaT7HJoEW9WkaVZH5ubFTBwZZAR3aPosuZMKVC6SnEfNtIrcNHBTyrVcAvi4f4T9eFowrzTVkTmP3zmyfjFCpiFGZc4%2FKBCLKURhrvLjgYv85doEeNxz1k7U3iTvu0u9x9q8Wy3IpLZtZBd0Eyar0F7yeYRy0z1PaIlu6AWAf7X%2FE2tPn0CsRPrQFrauYadGuKcLks6E%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," Giant XTC3 17 Inch Frame 26 Inch Wheels","","Bikes"
"","","Hybrid Bike","","Giant","","","Blue","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","Large","","Derailleur Gears","","","","","Aluminium Alloy","FARRAGO","","24 Speed","","","","Indexed Shifter","","","Front","Semi-Slicks","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","26","AU $790.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165239626219?hash=item26790c99eb:g:wSoAAOSwFmNhvTyI&amdata=enc%3AAQAHAAAAoFUTITTqjNJEwnRzyUnLwQci6dHCS1k6ZHgsvbp7sNbbMHthBWh3vXDkWQaOfljIPVeEMtNvBM2nt%2Fchon%2F%2FB2HvRjr68TiAhX7fBUbIZdQmSMPnXuN9lLvJxL5vkj2pGQHusEBvPOj0micQvT96M2g%2Bf9plazo%2BIrvYSw39TTPAajyMianVX3j2BiGi9gcYRUfpIMrzyMAXFWvC7Nf%2Be50%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," GIANT FARRAGO PLUS ONE FREE SMALL GIRLS BIKE WITH THE PURCHASE OF THE GAINT BIKE","","Bikes"
"","","Mountain Bike","","Giant","","","Blue","Used","","Boys","","","","","","","","","","","","Aluminium","","","","","","","","","","No Suspension","","","No","","22 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","27","AU $400.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/304303659521?hash=item46d9e95a01:g:UWUAAOSwbxxh3qRE&amdata=enc%3AAQAHAAAAoEj34U9hroIBQvbGUxymXCXD32AgRPz0AnTqSxhSwbv8B%2FQW5WLI8Z36YDejrnVBoaBXtHqt5x9ja7lsOaJxSwyGOk2XWUoidEce9L%2FuKkp4QB%2BiWkH8Scq7SZaYeay0PKH6SEr2D6lipJT0yPd5fk0NpBQqTsN1g%2FLbXOTKCvgtTow7ZcL%2Fu7BpetJ7%2Fq%2FpL40etqf1HXq5w60KwjXjvrg%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," Giant ALUXX SX 6000 Series Buttered Tubing","","Bikes"
"","","Road Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adult","","","","","53 cm","","","","","","","Alloy","","","","","","","","","","No Suspension","","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","28","","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/275502772771?hash=item40253eb223:g:FccAAOSw411htZ9T&amdata=enc%3AAQAHAAAAoOIiMnhrtRw5dyyOdM0hEiyQBlsJKThRZVTTHo1ZxXWtl32tbjEenjio8psbXcF3AEqD7cHE%2FfjCKcSavnTjC5vIyctdZyk808NCDreRZ7%2BVkhQjkkfAOVT7Oo6s8h62LkOQHj1TslEzsYwGJT78ZAMdu8Uy4YpllC%2FeebUXetQaROZldtf%2Bkz8Q7zEqrsxp1bcoLFoOUJ5eyUAo9IBI5J0%3D%7Ctkp%3ABk9SR8r7pvD8YA","AU $300.00"," Bicycle Giant OCR3 Alloy Hybrid Fantastic Ride Very Light Very Quick Small/Mediu","0","Bikes"
"","","Kids Bike","Alloy V-brakes","Liv","","","Pink","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Girls","","","","","ALUXX-grade Aluminium","","Derailleur Gears","","","","","Alloy, Aluminium Alloy","ENCHANT","","7 Speed","","","","Grip Shifter","","","Front","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","29","","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/175447211204?hash=item28d977fcc4:g:DM4AAOSw~gxhtSWy&amdata=enc%3AAQAHAAAAoB398YKVL%2Bfleckc8M348AkMwkBW1mU%2FWK9A2i8becBz%2BQfS4QR%2FEhqXnKw93OrkwQ7oxuQep0F%2BnxelWm6Fth2FuJQQez2R8FTdm%2FXgSB81LRKBqQ94RsdIRRmI%2BukFTpSXAAWUul4yyZDv7xuj0%2FkFf2fSQexPXpXlrOawjAVkzG97LkDCL1L719QohkdrTIzgqFmq%2B%2BgBSTC95EM%2B9dc%3D%7Ctkp%3ABk9SR8z7pvD8YA","AU $120.00"," Girls Bike - Liv (Giant) Enchant 20'' Pink","0","Bikes"
"","0","Racing Bike","disc hydraulic","Giant","","","Carbon / Knight Shield","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","M/L","","","","Drop Bar","","Does Not Apply","Carbon Fibre","TCR ADVANCED DISC 2 PRO COMPACT","2022","22 Speed","","","","","","","No Suspension","Clincher Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","30","AU $3,038.40","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134133381654?hash=item1f3af8fa16:g:Ii8AAOSwiMFilMFX&amdata=enc%3AAQAHAAAAoKBasVnODsUKF5%2FeIydiPMZApokYffsTtFJQdpyVIcKqyw%2FI20vOiuFti%2BkTSGiYkekg6RCnv28aB7v15eDfcoyKz9Emoruu4RLt5ukEVytsvgZqUpuKHRB8UTlggpUjCo5afTJK6CmJhYuiUPXdDyi26mDDZ3M7MAcLm0I9M9NkCjVuekAZvahp763XMtjkGoTa7oV4ovxq%2B6OZEqqXPLw%3D%7Ctkp%3ABk9SR8L7pvD8YA",""," GIANT TCR ADV 2 PRO COMPACT DB M/L  2022 Road Bike - race Carbon Bike","","Bikes"
"","","Kids Bike","","Giant","","","Multicoloured","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Girls","","","","","","","","","","","","","","","","","","","","","","","","","No","","16 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","31","AU $25.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165295077672?hash=item267c5ab928:g:iIIAAOSwx9Bh600T&amdata=enc%3AAQAHAAAA4MMq8sidxhK2REyus5bIuw%2FyYWco1P1%2F2wuZvF%2BSSNfJTjVBFPPk8umRM212nhcIWpEzIb%2F%2BoQPEIRIafq1RGWPrqvIS%2Bq7QxWGZ5NdAvfKmH%2Bk1fSviSScE29LupJWP1Y4c0W1qB0ONDLx2%2BplMkGmL8clNfrIHnuWz6p5Hj%2Buq4hTJqLa2YHOpvgfC9fKO7oosMfZS%2BMHk8gS70w2xivvZW7qNyUqthGPMG6YilFssQ8fszddgCrKOqKUb79XDAAktamh74%2BjmzwZZ1pvQxOxDz2yewU5zUVTLpE2WVL5%2B%7Ctkp%3ABk9SR8j7pvD8YA",""," Girls Giant Liv bike for 3 - 7yrs White","","Bikes"
"","","Kids Bike","","Giant","","","Black","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","40 cm","","","","","","","","","","","","","","","","","","","","No","","16 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","32","AU $30.00","ebay_australia_bike","2022-10-17 17:36:46","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/154789748851?hash=item240a302073:g:dbEAAOSwGTBh3QWk&amdata=enc%3AAQAHAAAAoJvFDj4ZAy4vo2PiqhMsZ4L4xDVRBaoB1NlLb9f5praWer4PdbGl7Z8ZEJBO5zuK4GoRy7sOJW5Y3a76z6GJ3QTfgsW7cLcdhavpAKt79c0eHKMoGbREDgLv8qtx%2FPplByiuYm%2Fn23D2enKeTO2PTS6GOr5ISv%2FT7b1LvfQEbdpR0ghOVqOW29%2Fgq12MrWSnEj8YYauqZzKdKghPUfuBoPw%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," Giant 16 inch bike in good condition","","Bikes"
"","","Road Bike","","Giant","","","Orange","Seller refurbished: The item that has been restored to working order by the manufacturer, eBay seller or a third party. This means the item has been inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details. ","","Men","","","","","58 cm","","","","","","","Chromoly","","","","","","","","","","No Suspension","","","Yes","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","33","AU $3,000.00","ebay_australia_bike","2022-10-17 17:36:46","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/325318402897?hash=item4bbe7ce351:g:EtsAAOSwf75h5gxh&amdata=enc%3AAQAHAAAAoIbWPKSOaPw5azf0DhNSHI%2FmE7BWpfoxMYfcWMO7ho3xk6USeNKNkA%2F1VYSFKGQ%2BwxvEqSxwAbiQkjbD6Ho7xv1fEppMLv%2BnaMuTRdzByNSBFri8adwIcX%2BZMuJk5AiDQwvsYECl%2BlmRHKk80PL209PzYLVRTQEY8fT0kCqhJFCSLZ8%2B1iQue7SBhhXApahCDRlNKTc0APCwhOEfupKAblM%3D%7Ctkp%3ABk9SR8j7pvD8YA",""," Custom Vintage Giant Peleton Superlite Road Bike","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","34","AU $250.00","ebay_australia_bike","2022-10-17 17:36:46","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/185225008532?hash=item2b20455594:g:fUwAAOSwOfFhtwYQ&amdata=enc%3AAQAHAAAAoHQjGtwHB4MftLMriAkR68crh8QCfkBwbbeYtOwDWlLECwk2IMEYgoS5GlomAAJLNcDWm9%2B0%2Bxmlvxg%2FaNAZxB0OlED5Fx7YSgxN%2BHnkOEx7qlUJQKcAzibFMp5zdwzfuJ14rUjJDi%2B20U8hfFUOi0fXo0EBfQRrTe7mpJ9Fg5kcIFLKMnNSclyM1Ft5K1SglgatFWcLVE7TznN12lKpsrY%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," Giant Rincon Mountain Bike","","Bikes"
"","","Kids Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","35","AU $89.00","ebay_australia_bike","2022-10-17 17:36:46","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/144372682339?hash=item219d484e63:g:Xu8AAOSwdGJh41XN&amdata=enc%3AAQAHAAAAoKd%2BvhDrfpG93%2BFqCbS9WXw4a7M1ZwfgphXhaCxjMoM3ljCD%2FiE8UmN6xLoEjjM0JXSqU5gATMldZpq%2F47D%2FySvzaLht5k5N1NqmjBhQuAijGKbBktJIcfz54TdH%2BNbHSIV%2Fb3lF%2BTx5A%2BmteqjcE%2F31571XrA%2BMH2VYJRQhkw2d1dLgP%2FjUz03MWOZJZCivCbMz21C%2Fe7F6reTyxP5p8O0%3D%7Ctkp%3ABk9SR8j7pvD8YA",""," Giant Holly 20” Kids Bicycle","","Bikes"
"","","Road Bike","Rim Brake - Mechanical","Giant","","","Multicoloured","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","","","Derailleur Gears","","","","","","","","","","","","Road Bike Shifter","","","No Suspension","","","No","","700x23C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","36","AU $699.00","ebay_australia_bike","2022-10-17 17:36:47","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/325040365538?hash=item4badea5fe2:g:Q64AAOSwhdNiAyAu&amdata=enc%3AAQAHAAAAoHiGgttnkVZWTQJvlbSlHmZFaRxjyOtus3W5vyB2jgg6TI9HLbX3aG1KDzLN0HFMXqKbz6pSVJCeOUzHAcjddcZDejymXPxwFz7YWHcMXuziurD1Bx06zBFOrXPjv8MkJLMacSIgg1WFKT2f3YsHWgbk%2B7pAz9zlwi5ZbFjFDcTHrjZjnHWhMg17pCexaDosUX5M%2FAc2hnppicLHv4BCMVc%3D%7Ctkp%3ABk9SR8j7pvD8YA",""," Giant OCR2 Compact Road Bike; Bicycle; Shimano Rims; Size S","","Bikes"
"","","Road Bike","","Giant","","","White","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","55.5cms","","","","","","","Carbon Fibre","Advanced TCR","","20 Speed","","","","","","","No Suspension","","","No","","25 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","37","AU $1,199.00","ebay_australia_bike","2022-10-17 17:36:47","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/325177568194?hash=item4bb617ebc2:g:FAwAAOSwLwJiP5uD&amdata=enc%3AAQAHAAAAoHDyzmTJ%2BPxJ158I2Bj8xLI5%2Bv%2Fiv2AP6Ub0QibeCUGcLyeL8JT4%2BNhQWZ5IS3qkE8pEHkADUnH0Jx1bemfPMnliE8SMfk8AFffg2%2Bjni8lTFfHqHQHCkWNQP2xAL11S07IVBJc0Le7s6pfGzrgjr0M%2FNKavFdeiO7w4VXFQFavfNtjXIIh3eoi%2FBCp5WJdJafDlmpqoYkDVQm7pnDqM6Xk%3D%7Ctkp%3ABk9SR8b7pvD8YA",""," TCR  ADVANCED  A1  GIANT RACER BICYCLE 55' FRAME","","Bikes"
"","0","Mountain Bike","","Giant","","","Black","New other (see details): An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second (i.e. it has a small flaw that does not affect the operation of the item such as a scratch or dent). See the seller's listing for full details and description. ","","","","","","","Small","","Derailleur Gears","","","","","","","2022","12 Speed","","","","","","","Full Suspension (Front & Rear)","Tubeless Tyres","","No","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","38","AU $3,600.00","ebay_australia_bike","2022-10-17 17:36:47","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165438493245?hash=item2684e7123d:g:4hQAAOSwvw9iXMFO&amdata=enc%3AAQAHAAAAoBGGUWmAjliQtnfplCvoldREX2nul5hDSC8co%2FZ5Y9Ys8lodyxFw%2B9pZSkR%2BAx8BsVaKtBYqv8gRyBVLY6IwuUkL%2FLOH6f2Wp%2BcGItWWMD2YJfN%2Fns%2BRU%2BAy2M4JNfBqhDCGZcbhEZKNjcHokhfr3c9U78jbmJnwobJ8ZjGqh%2B8Ab0UGh2Dom%2BTGTKbpdNN0UkwDieYSrkXccb8uGMeE2Ro%3D%7Ctkp%3ABk9SR8b7pvD8YA",""," 2022 Giant Trance X 29 Small","","Bikes"
"","5","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Boys","","","","","X-Small","","","","","","","","Talon 3","2017","","","","","","","","Front","","","No","","27.5 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","39","AU $500.00","ebay_australia_bike","2022-10-17 17:36:47","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/394033411131?hash=item5bbe38b43b:g:VWoAAOSwFkNiWjJV&amdata=enc%3AAQAHAAAAoFATfc%2BQOU2KVGVz2m4%2BD1tN%2FTCZ4ZilUzjspdr%2FZRNSWQr6VAEgjOSp9f3wNYNI5dwbjBL7zK%2FgGmy%2F2%2BG0GZAc7r0JJtcjwWn74M1mYf1Od39iZuK%2F7qQK0CJ9%2FQHsRun4L7J2gNrYfL5Hn%2BAj3ZXEkVaIsNlBbHj9bmSZOKU7reJX1AGlzzVxBDhD7IAhMX2%2FbWnY9koH12KndYJc4GY%3D%7Ctkp%3ABk9SR8b7pvD8YA",""," Giant Talon 3 2017 hardtail XS MTB","","Bikes"
"","","Kids Bike","Coaster Brake","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Children","","","","","12""","","None","","Cruiser Bar","","","Aluminium","Animator","","1 Speed","","","","","","","No Suspension","","","No","","12 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","40","AU $100.00","ebay_australia_bike","2022-10-17 17:36:47","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134065691344?hash=item1f36f01ad0:g:LPEAAOSwpd5iPouK&amdata=enc%3AAQAHAAAAoK85TpsPuNT%2B9EaSAhjiTDVAe3%2Bgxm4f8ozxnmnEEo5r3GOvVtbfGu1w2CKXoBFT7IIKvwVkU6yMJsHNZOUQERaH5UNRllcvKkffL9bu%2BELbLr2PD7pGcR48KAbYObJsS6eZfZQgw2zG242ftjV%2BOrX2EOBn%2B5E6IVORpRAOEEKfnAYgQSlPhDXBjEpBTVgIZdQBQhRfxrnj0tW1id34Z7I%3D%7Ctkp%3ABk9SR8b7pvD8YA",""," Giant Animator 12"" Kids Bike Children's Bicycle Boys Girls","","Bikes"
"","","Road Bike","","Giant","","","White","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","54 cm","","","","","","","","Giant Contend","","16 Speed","","","","","","","","","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","41","AU $1,000.00","ebay_australia_bike","2022-10-17 17:36:47","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/294830640901?hash=item44a5468f05:g:2HwAAOSwrl9iFzG5&amdata=enc%3AAQAHAAAAoGhjNgeVHSAzPBhiocWqg4ICR0o0%2BrKHidA1NocIVKo3fQ8g%2Bky1L0TQvo%2BHzb5o%2Fpq24zsa6qivmRASZKHebBfOUxGFdWrfXJUVjhlOmcihm%2BJo9BY63QauGLgJdqdXwYrenOqa2REdm87qqrgUOAEcWovMtCx%2BdYMEogDgi2iZrarH1f3EaRzjTOGTuhAQfdxuD8dL9uyyqqLTWyhgosI%3D%7Ctkp%3ABk9SR8j7pvD8YA",""," Giant Road Bike","","Bikes"
"","","Road Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","42","AU $800.00","ebay_australia_bike","2022-10-17 17:36:47","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/185409869188?hash=item2b2b4a1584:g:jgIAAOSwEUdibzcP&amdata=enc%3AAQAHAAAAoN%2FMNjWooI6XO94XmwLQnEgBCVgkVzqPm90MMdiOxmnRG7zNbn9rIPD6l2NUcgCxIUWQlg5W82DNEtDgsc5gvf9tjbJsnbC6DV12vWLvg5wbFp7o%2FnajBTyturRgTsKkoW6KcC%2FQt0M2vO3EtGtPZFvzE9IjDTfuk%2BiFXPYKLavR5ivIGlgMggvm1Vhuqyn3L7JHE8TVRwlPiRWnmXBdlbI%3D%7Ctkp%3ABk9SR8T7pvD8YA",""," road bike","","Bikes"
"","17","Racing Bike","","Giant","","","","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","","","","","","","","","","","","","Carbon Fibre","","2005","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","43","AU $150.00","ebay_australia_bike","2022-10-17 17:36:48","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/334374224454?hash=item4dda41c246:g:eAsAAOSwcGNiOPbd&amdata=enc%3AAQAHAAAAoIXpGCLAKtsi%2BpFEzSXYwwEPo1PJklqHbqK%2FO%2FU5vsYtojZQ6h73kBhOvXrd5TmIkQ2fzaq8oJqg%2BZO2E9eL0CanPNnMCVtjX4%2BnRzD2Ob83J1NEEGTBzUbt8ncNdw8Bzzgj1iwwdf7ZPhriXCQ%2BzaDqW34T1i5ryC2g3v06zs5jVM5bhYRwBbMJFk%2FcONfJVb3gR7nfpeF8jfZUKItMGiU%3D%7Ctkp%3ABk9SR8b7pvD8YA",""," Giant TCR C Zero Road Cycling Bike (2005) 53.5'' Frame","","Bikes"
